Sport,Bovada Names,VSIN Names,Final Names
BASE,Milwaukee Brewers,MIL Brewers,Milwaukee Brewers
FOOT,Minnesota Vikings,MIN Vikings,Minnesota Vikings
TABL,Miroslav Adamec,,
TABL,Miroslav Cinibulk,,
SOCC,Monza,Monza Brianza,Monza Brianza
SOCC,Napoli,Napoli,Napoli
FOOT,New England Patriots,NE Patriots,New England Patriots
FOOT,New Orleans Saints,NO Saints,New Orleans Saints
FOOT,New York Giants,NY Giants,New York Giants
FOOT,New York Jets,NY Jets,New York Jets
SOCC,Newcastle United,Newcastle,Newcastle United
FOOT,NFC Conference,,
SOCC,Nottingham Forest,Nottingham Forest,Nottingham Forest
BASE,Oakland Athletics,OAK Athletics,OAK Athletics
TABL,Oldrich Vrtal,,
TABL,Ondrej Kucirek,,
TABL,Ondrej Paril,,
TABL,Ondrej Pros,,
SOCC,Osasuna,Osasuna,Osasuna
TABL,Otto Jarkovsky,,
TABL,Patrik Pycha,,
TABL,Pavel Chvatal,,
TABL,Pavel Gireth,,
TABL,Pavel Mozol,,
TABL,Pavel Wawrosz,,
TABL,Petr Bradac,,
TABL,Petr Jochym,,
TABL,Petr Kmoch Snr,,
TABL,Petr Sudek,,
FOOT,Philadelphia Eagles,PHI Eagles,Philadelphia Eagles
BASE,Philadelphia Phillies,PHI Phillies,Philadelphia Phillies
BASE,Pittsburgh Pirates,PIT Pirates,Pittsburgh Pirates
FOOT,Pittsburgh Steelers,PIT Steelers,Pittsburgh Steelers
TABL,Radek Benes,,
TABL,Radek Rose,,
TABL,Radek Vosyka,,
TABL,Radim Pavelka,,
TABL,Radim Uhlar,,
SOCC,Rayo Vallecano,Vallecano,Vallecano
SOCC,Real Betis,Real Betis,Real Betis
SOCC,Real Madrid,Real Madrid,Real Madrid
SOCC,Real Sociedad,Real Sociedad,Real Sociedad
SOCC,Real Valladolid,Valladolid,Valladolid
TABL,Robin Pacha,,
TABL,Roman Barta,,
TABL,Rostislav Hasmanda,,
TABL,Rostislav Niezgoda,,
TABL,Rostyslav Kliuchuk,,
SOCC,Salernitana,Salernitana,Salernitana
SOCC,Sampdoria,Sampdoria,Sampdoria
FOOT,San Francisco 49ers,SF 49ers,San Francisco 49ers
SOCC,Sassuolo,Sassuolo,Sassuolo
BASE,Seattle Mariners,SEA Mariners,Seattle Mariners
FOOT,Seattle Seahawks,SEA Seahawks,Seattle Seahawks
SOCC,Sevilla,Sevilla,Sevilla
SOCC,Southampton,Southampton,Southampton
SOCC,Spezia,Spezia,Spezia
BASE,St. Louis Cardinals,STL Cardinals,St. Louis Cardinals
TABL,Svatoslav Stempen,,
ESPT,T1,,
TABL,Tadeas Zika,,
FOOT,Tampa Bay Buccaneers,TB Buccaneers,Tampa Bay Buccaneers
ESPT,Team WE Academy,,
FOOT,Tennessee Titans,TEN Titans,Tennessee Titans
BASE,Texas Rangers,TEX Rangers,Texas Rangers
ESPT,ThunderTalk Young,,
TABL,Tibor Kolenic,,
TABL,Tiep Vu Duy,,
TABL,Tomas Andrle,,
TABL,Tomas Bartik,,
TABL,Tomas Demek,,
TABL,Tomas Postelt,,
TABL,Tomas Tecl,,
TABL,Tomas Turek,,
SOCC,Torino,Torino,Torino
BASE,Toronto Blue Jays,TOR Blue Jays,Toronto Blue Jays
SOCC,Tottenham Hotspur,Tottenham,Tottenham Hotspur
SOCC,Udinese,Udinese,Udinese
ESPT,UP Academy,,
TABL,Vaclav Pech,,
TABL,Vaclav Pulkrabek,,
SOCC,Valencia,Valencia,Valencia
HCKY,Vegas Golden Knights,VGK Golden Knights,Vegas Golden Knights
SOCC,Villarreal,Villarreal,Villarreal
TABL,Vit Salanda,,
TABL,Vladimir Cermak,,
TABL,Vladimir Havlicek,,
TABL,Vladimir Kubat,,
TABL,Vladimir Postelt,,
TABL,Vlastimil Svatos,,
FOOT,Washington Commanders,WAS Commanders,Washington Commanders
SOCC,West Ham United,West Ham,West Ham United
SOCC,Wolverhampton Wanderers,Wolves,Wolverhampton Wanderers
TABL,Zbynek Zientek,,
TABL,Zdenek Zikmunda,,
SOCC,Austin FC,Austin FC,Austin FC
SOCC,New England Revolution,New England Revolution,NE Revolution
SOCC,New York City FC,New York City FC,New York City FC
SOCC,Orlando City,Orlando City,Orlando City
SOCC,Houston Dynamo,Houston Dynamo,Houston Dynamo
SOCC,CF Montréal,CF Montreal,CF Montreal
SOCC,Saint Louis City SC,,
SOCC,LA Galaxy,LA Galaxy,LA Galaxy
SOCC,San Jose Earthquakes,San Jose Earthquakes,San Jose Earthquakes
SOCC,Seattle Sounders,Seattle Sounders,Seattle Sounders
SOCC,Charlotte FC,Charlotte FC,Charlotte FC
SOCC,Nashville SC,,
SOCC,Chicago Fire,Chicago Fire,Chicago Fire
SOCC,Colorado Rapids,Colorado Rapids,Colorado Rapids
SOCC,Columbus Crew,,
SOCC,DC United,DC Utd,DC Utd
SOCC,FC Dallas,FC Dallas,FC Dallas
SOCC,Atlanta United,Atlanta Utd,Atlanta Utd
SOCC,Inter Miami,Inter Miami,Inter Miami
SOCC,Real Salt Lake,Real Salt Lake,Real Salt Lake
SOCC,Vancouver Whitecaps,,
SOCC,FC Cincinnati,FC Cincinnati,FC Cincinnati
SOCC,Minnesota United,Minnesota Utd,Minnesota Utd
SOCC,Portland Timbers,,
SOCC,New York Red Bulls,New York Red Bulls,New York Red Bulls
SOCC,Philadelphia Union,Philadelphia Union,Philadelphia Union
SOCC,Sporting Kansas City,Sporting Kansas City,Sporting Kansas City
SOCC,Toronto FC,Toronto FC,Toronto FC
